,0,1
0,worm,swarm
1,sky,high
2,young,song
3,long,young
4,Queen,Afternoon
5,escaped,scooped
6,Down,profound
7,dull,tunnel
8,Crate,braid
9,Created,rabid
10,Buzz,Does
11,Does,Was
12,Too,Blue
13,Blue,Grew
14,Grew,Flu
15,Flu,Through
16,Through,Threw
17,Blue,Through
18,haul,brawl
19,Threw,Blue
20,raise,craze
21,again,attain
22,craze,days
23,feet,treat
24,great,crate
25,hymn,trim
26,swim,hymn
27,hertz,worse
28,curse,hertz
29,jewels,pools
30,pulls,jewels
31,pear,spare
32,heir,pear
33,tease,seize
34,which,switch
35,rich,dish
36,eight,plate
37,gate,weight
38,trait,slate
39,bawl,mall
40,allowed,cloud
41,made,plaid
42,jade,laid
43,maid,trade
44,suede,maid
45,wade,prayed
46,shade,payed
47,raid,glade
48,grade,paid
49,plaid,fade
